Wall time,Step,Value
1700646788.7663875,5640,0.025869933888316154
1700646819.079668,5660,0.027420461177825928
1700646849.3987913,5680,0.02644362859427929
1700646879.6650176,5700,0.0246127862483263
1700646909.5475829,5720,0.02822268009185791
1700646939.8056498,5740,0.027170414105057716
1700646969.6359837,5760,0.02631656639277935
1700646999.9070096,5780,0.024886464700102806
1700647030.3163648,5800,0.02622569352388382
1700647060.2719376,5820,0.02613641321659088
1700647098.5884762,5840,0.029963001608848572
1700647127.787793,5860,0.02834245003759861
1700647157.5818007,5880,0.02716529555618763
1700647187.8645382,5900,0.025769338011741638
1700647217.9432132,5920,0.028435615822672844
1700647247.9317153,5940,0.024887967854738235
1700647277.9085395,5960,0.028941433876752853
1700647307.3194103,5980,0.026998689398169518
1700647373.684881,6000,0.02643628790974617
1700647402.2790694,6020,0.025957303121685982
1700647431.8647504,6040,0.025985071435570717
1700647461.9572108,6060,0.024796269834041595
1700647491.9649248,6080,0.02899762988090515
1700647522.671819,6100,0.028048086911439896
1700647553.1501133,6120,0.02725420519709587
1700647582.7948518,6140,0.02660105749964714
1700647613.8940282,6160,0.027805671095848083
1700647643.7984543,6180,0.02736791782081127
1700647674.047801,6200,0.02782265655696392
1700647703.9677062,6220,0.028028205037117004
1700647733.4560068,6240,0.025773413479328156
1700647763.8808405,6260,0.02814335748553276
1700647793.385152,6280,0.028396600857377052
1700647834.134115,6300,0.02621685154736042
1700647862.9995582,6320,0.026568077504634857
1700647892.8785274,6340,0.026129676029086113
1700647923.162613,6360,0.026572946459054947
1700647953.3590193,6380,0.025430450215935707
1700647983.6989584,6400,0.02846553735435009
1700648014.693671,6420,0.026637045666575432
1700648044.6760478,6440,0.02974248118698597
1700648075.5369997,6460,0.025792237371206284
1700648105.8450418,6480,0.0294488538056612
1700648163.4438744,6500,0.027588840574026108
1700648192.996836,6520,0.028071487322449684
1700648222.9075298,6540,0.02494029514491558
1700648252.4834673,6560,0.027905728667974472
1700648283.2669542,6580,0.027952466160058975
1700648313.7152388,6600,0.027737176045775414
1700648344.2375817,6620,0.026457984000444412
1700648374.7721496,6640,0.026096785441040993
1700648404.463841,6660,0.02794181928038597
1700648434.2232213,6680,0.026593118906021118
1700648464.6950767,6700,0.027554262429475784
1700648494.6312776,6720,0.028917750343680382
1700648529.9341705,6740,0.02690972574055195
1700648559.7360878,6760,0.027629904448986053
1700648590.7016084,6780,0.02596898376941681
1700648620.8125205,6800,0.02826002612709999
1700648649.1851022,6820,0.027473386377096176
1700648679.8809524,6840,0.027568604797124863
1700648709.363205,6860,0.02686857245862484
1700648739.0758755,6880,0.02377307415008545
1700648769.9203796,6900,0.028243130072951317
1700648798.869891,6920,0.027060948312282562
1700648828.6769936,6940,0.026388192549347878
1700648857.7543166,6960,0.027780966833233833
1700648887.3645325,6980,0.02706403099000454
1700648944.0111766,7000,0.027847977355122566
1700648973.0138109,7020,0.028165720403194427
1700649002.1531043,7040,0.027569640427827835
1700649031.6595879,7060,0.02844896726310253
1700649061.54356,7080,0.028396613895893097
1700649091.3793223,7100,0.027334021404385567
1700649120.972899,7120,0.02683093771338463
1700649150.7643838,7140,0.025509756058454514
1700649180.9621053,7160,0.026601038873195648
1700649210.8505616,7180,0.025865018367767334
1700649248.764895,7200,0.026898032054305077
1700649278.1971486,7220,0.02393549680709839
1700649308.0206685,7240,0.02782277949154377
1700649337.4288056,7260,0.025589536875486374
1700649367.2481513,7280,0.025470614433288574
1700649396.6108828,7300,0.026697732508182526
1700649426.8428671,7320,0.025666289031505585
1700649456.7326336,7340,0.027646062895655632
1700649485.6611195,7360,0.026239676401019096
1700649514.9957564,7380,0.028330881148576736
1700649545.2505057,7400,0.025877753272652626
1700649575.150336,7420,0.027223704382777214
1700649604.9173396,7440,0.02626306563615799
1700649634.5613892,7460,0.028666408732533455
1700649664.131802,7480,0.024789361283183098
1700649720.223716,7500,0.026399053633213043
1700649748.8627515,7520,0.027046263217926025
1700649778.1241422,7540,0.027498068287968636
1700649807.8899782,7560,0.028811858966946602
1700649837.4479742,7580,0.026751630008220673
1700649867.811147,7600,0.027717893943190575
1700649897.3433518,7620,0.02757742628455162
1700649926.6537583,7640,0.0256758164614439
1700649966.4925194,7660,0.02729455940425396
1700649996.602831,7680,0.02704611048102379
1700650026.4318924,7700,0.026877375319600105
1700650055.3600843,7720,0.027631575241684914
1700650086.180674,7740,0.026772990822792053
1700650116.5879881,7760,0.02644486166536808
1700650145.8154104,7780,0.027383407577872276
1700650176.0726502,7800,0.025390500202775
1700650206.4557676,7820,0.025830943137407303
1700650237.2349014,7840,0.027295032516121864
1700650267.2728045,7860,0.025844749063253403
1700650296.6291318,7880,0.026894288137555122
1700650325.9639482,7900,0.026479896157979965
1700650355.853065,7920,0.024704284965991974
1700650386.0550988,7940,0.025587497279047966
1700650415.6815424,7960,0.026905914768576622
1700650445.4280818,7980,0.02768114022910595
1700650511.0818577,8000,0.027032436802983284
1700650539.1241689,8020,0.02622329629957676
1700650569.1112752,8040,0.027573376893997192
1700650598.373313,8060,0.026415007188916206
1700650628.96817,8080,0.026128297671675682
1700650662.9553905,8100,0.027200287207961082
1700650693.157267,8120,0.02556479722261429
1700650723.7004464,8140,0.02475961297750473
1700650753.9850616,8160,0.02565055713057518
1700650784.0950074,8180,0.025903375819325447
1700650813.5351107,8200,0.026594771072268486
1700650844.0134916,8220,0.02829805202782154
1700650874.098599,8240,0.025837529450654984
1700650902.8842201,8260,0.02423465996980667
1700650933.1379187,8280,0.02711227722465992
1700650963.4039338,8300,0.025449182838201523
1700650993.1843407,8320,0.025312911719083786
1700651023.6840265,8340,0.027716074138879776
1700651053.5946126,8360,0.02536550909280777
1700651083.5938926,8380,0.027123305946588516
1700651113.095816,8400,0.025585051625967026
1700651143.7658179,8420,0.026391416788101196
1700651173.8648527,8440,0.02801031619310379
1700651203.8692021,8460,0.023198241367936134
1700651234.412643,8480,0.02624068409204483
1700651291.3328125,8500,0.02566668763756752
1700651319.594449,8520,0.024532189592719078
1700651350.3543417,8540,0.026199977844953537
1700651388.483472,8560,0.026881547644734383
1700651418.1266246,8580,0.02802252024412155
1700651448.074029,8600,0.028166798874735832
1700651478.0922635,8620,0.023221271112561226
1700651508.0038674,8640,0.026856224983930588
1700651537.870556,8660,0.026625392958521843
1700651568.1558795,8680,0.029580004513263702
1700651597.8887773,8700,0.026369621977210045
1700651628.220402,8720,0.02424110844731331
1700651658.637664,8740,0.023485884070396423
1700651688.9622195,8760,0.027553081512451172
1700651719.5907166,8780,0.026741068810224533
1700651749.1336203,8800,0.026241233572363853
1700651779.122247,8820,0.025884313508868217
1700651809.4652271,8840,0.0268537737429142
1700651839.8306456,8860,0.024244066327810287
1700651870.4624321,8880,0.027172408998012543
1700651900.8575797,8900,0.02538159489631653
1700651931.0602944,8920,0.02547220140695572
1700651960.8969045,8940,0.026860861107707024
1700651991.2396412,8960,0.024506350979208946
1700652022.3389544,8980,0.025690434500575066
1700652075.1729493,9000,0.02457476407289505
1700652115.5593624,9020,0.026996858417987823
1700652146.0266087,9040,0.02508433908224106
1700652175.7637496,9060,0.024714862927794456
1700652206.383929,9080,0.026777539402246475
1700652236.2229688,9100,0.027514373883605003
1700652266.6442583,9120,0.026558004319667816
1700652296.8348753,9140,0.026775866746902466
1700652327.2398834,9160,0.02744171768426895
1700652357.017762,9180,0.027491748332977295
1700652387.9194589,9200,0.025656482204794884
1700652416.9920378,9220,0.025588929653167725
1700652446.975036,9240,0.02574555017054081
1700652476.5857306,9260,0.02442065440118313
1700652507.583121,9280,0.02609027549624443
1700652537.1655936,9300,0.025304365903139114
1700652567.1905415,9320,0.024654386565089226
1700652598.7449617,9340,0.025039657950401306
1700652628.9877353,9360,0.026259737089276314
1700652659.397304,9380,0.027567777782678604
1700652689.5093086,9400,0.025480877608060837
1700652719.6983645,9420,0.02519461140036583
1700652749.796409,9440,0.02461926080286503
1700652785.8179789,9460,0.02578931301832199
1700652815.214911,9480,0.027086036279797554
1700652994.2286036,9480,0.02816096879541874
1700653051.8338501,9500,0.024949409067630768
1700653079.427073,9520,0.026445647701621056
1700653110.185927,9540,0.026437819004058838
1700653139.3925204,9560,0.02610836736857891
1700653170.704527,9580,0.026775944977998734
1700653201.276034,9600,0.027774818241596222
1700653232.2637167,9620,0.026084018871188164
1700653262.739466,9640,0.025821518152952194
1700653292.8871655,9660,0.024799615144729614
1700653323.79558,9680,0.028255723416805267
1700653353.4091847,9700,0.026159698143601418
1700653384.5135934,9720,0.02593645639717579
1700653415.241307,9740,0.024576235562562943
1700653445.800663,9760,0.0261148102581501
1700653477.4655786,9780,0.025207368656992912
1700653507.4460492,9800,0.02359928749501705
1700653538.7935288,9820,0.026880070567131042
1700653568.959345,9840,0.025693241506814957
1700653599.0294344,9860,0.02507402002811432
1700653630.0048556,9880,0.024030126631259918
1700653660.9321842,9900,0.02489083632826805
1700653691.0126324,9920,0.024892941117286682
1700653729.4494092,9940,0.028450965881347656
1700653759.8777978,9960,0.02720951847732067
1700653789.7966518,9980,0.026208722963929176
1700653857.098909,10000,0.02457745559513569
1700653885.3183084,10020,0.02729085087776184
1700653915.5020428,10040,0.023812266066670418
1700653946.5335736,10060,0.027704846113920212
1700653975.890566,10080,0.025841576978564262
1700654006.0757136,10100,0.025234224274754524
1700654037.0668929,10120,0.025171687826514244
1700654068.489452,10140,0.024913398548960686
1700654098.089755,10160,0.023815663531422615
1700654129.0377908,10180,0.027753762900829315
1700654160.0689793,10200,0.026965636759996414
1700654190.6203587,10220,0.02626843750476837
