,content_class,style_class,melody_id,model_name,inference_audio_path,melody_score,style_score,overall_score
351,58,80,514,model-leaky-relu-frozen-style-pretraining-01-09-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-frozen-style-pretraining-01-09-2024/outputs/model-leaky-relu-frozen-style-pretraining-01-09-2024/vqvae0869.wav,1,1,1
352,72,60,264,model-leaky-relu-frozen-style-pretraining-01-09-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-frozen-style-pretraining-01-09-2024/outputs/model-leaky-relu-frozen-style-pretraining-01-09-2024/vqvae0534.wav,4,2,2
353,5,56,675,model-leaky-relu-no-style-pretraining-30-08-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-no-style-pretraining-30-08-2024/outputs/model-leaky-relu-no-style-pretraining-30-08-2024/vqvae1071.wav,2,1,1
354,34,97,865,model-leaky-relu-no-style-pretraining-30-08-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-no-style-pretraining-30-08-2024/outputs/model-leaky-relu-no-style-pretraining-30-08-2024/vqvae0658.wav,2,1,1
355,84,1,800,model-leaky-relu-frozen-style-pretraining-01-09-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-frozen-style-pretraining-01-09-2024/outputs/model-leaky-relu-frozen-style-pretraining-01-09-2024/vqvae0171.wav,2,1,1
356,63,15,241,model-leaky-relu-finetuned-style-pretraining-29-08-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-finetuned-style-pretraining-29-08-2024/outputs/model-leaky-relu-finetuned-style-pretraining-29-08-2024/vqvae0636.wav,5,5,5
357,13,73,135,model-leaky-relu-no-style-pretraining-30-08-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-no-style-pretraining-30-08-2024/outputs/model-leaky-relu-no-style-pretraining-30-08-2024/vqvae0469.wav,4,1,1
358,89,69,123,model-leaky-relu-finetuned-style-pretraining-29-08-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-finetuned-style-pretraining-29-08-2024/outputs/model-leaky-relu-finetuned-style-pretraining-29-08-2024/vqvae0733.wav,1,1,1
359,13,20,634,model-leaky-relu-finetuned-style-pretraining-29-08-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-finetuned-style-pretraining-29-08-2024/outputs/model-leaky-relu-finetuned-style-pretraining-29-08-2024/vqvae1089.wav,3,1,1
360,36,10,279,model-leaky-relu-finetuned-style-pretraining-29-08-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-finetuned-style-pretraining-29-08-2024/outputs/model-leaky-relu-finetuned-style-pretraining-29-08-2024/vqvae0728.wav,4,1,1
361,63,84,158,model-leaky-relu-frozen-style-pretraining-01-09-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-frozen-style-pretraining-01-09-2024/outputs/model-leaky-relu-frozen-style-pretraining-01-09-2024/vqvae0953.wav,1,2,1
362,54,17,209,model-leaky-relu-no-style-pretraining-30-08-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-no-style-pretraining-30-08-2024/outputs/model-leaky-relu-no-style-pretraining-30-08-2024/vqvae0992.wav,4,1,1
363,63,102,796,model-leaky-relu-frozen-style-pretraining-01-09-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-frozen-style-pretraining-01-09-2024/outputs/model-leaky-relu-frozen-style-pretraining-01-09-2024/vqvae1046.wav,3,1,1
364,19,16,685,model-leaky-relu-finetuned-style-pretraining-29-08-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-finetuned-style-pretraining-29-08-2024/outputs/model-leaky-relu-finetuned-style-pretraining-29-08-2024/vqvae1253.wav,4,1,1
365,89,75,145,model-leaky-relu-no-style-pretraining-30-08-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-no-style-pretraining-30-08-2024/outputs/model-leaky-relu-no-style-pretraining-30-08-2024/vqvae1463.wav,2,1,1
366,89,5,107,model-leaky-relu-no-style-pretraining-30-08-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-no-style-pretraining-30-08-2024/outputs/model-leaky-relu-no-style-pretraining-30-08-2024/vqvae1090.wav,3,1,1
367,32,1,996,model-leaky-relu-no-style-pretraining-30-08-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-no-style-pretraining-30-08-2024/outputs/model-leaky-relu-no-style-pretraining-30-08-2024/vqvae1344.wav,4,2,2
368,87,28,102,model-leaky-relu-finetuned-style-pretraining-29-08-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-finetuned-style-pretraining-29-08-2024/outputs/model-leaky-relu-finetuned-style-pretraining-29-08-2024/vqvae1371.wav,5,1,2
369,28,72,581,model-leaky-relu-frozen-style-pretraining-01-09-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-frozen-style-pretraining-01-09-2024/outputs/model-leaky-relu-frozen-style-pretraining-01-09-2024/vqvae0056.wav,3,2,2
370,9,86,112,model-leaky-relu-frozen-style-pretraining-01-09-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-frozen-style-pretraining-01-09-2024/outputs/model-leaky-relu-frozen-style-pretraining-01-09-2024/vqvae1429.wav,1,1,1
371,34,97,865,model-leaky-relu-frozen-style-pretraining-01-09-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-frozen-style-pretraining-01-09-2024/outputs/model-leaky-relu-frozen-style-pretraining-01-09-2024/vqvae0658.wav,4,1,1
372,83,101,448,model-leaky-relu-no-style-pretraining-30-08-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-no-style-pretraining-30-08-2024/outputs/model-leaky-relu-no-style-pretraining-30-08-2024/vqvae1554.wav,5,1,1
373,62,52,561,model-leaky-relu-finetuned-style-pretraining-29-08-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-finetuned-style-pretraining-29-08-2024/outputs/model-leaky-relu-finetuned-style-pretraining-29-08-2024/vqvae1423.wav,4,1,1
