,content_class,style_class,melody_id,model_name,inference_audio_path,melody_score,style_score,overall_score
122,89,5,107,model-original-frozen-style-pretraining-21-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-original-frozen-style-pretraining-21-11-2023/outputs/model-original-frozen-style-pretraining-21-11-2023/vqvae1090.wav,1,1,1
123,52,36,485,model-original-finetuned-style-pretraining-22-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-original-finetuned-style-pretraining-22-11-2023/outputs/model-original-finetuned-style-pretraining-22-11-2023/vqvae0721.wav,4,3,3
124,37,90,468,model-original-finetuned-style-pretraining-22-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-original-finetuned-style-pretraining-22-11-2023/outputs/model-original-finetuned-style-pretraining-22-11-2023/vqvae1070.wav,5,5,5
125,82,67,404,model-original-frozen-style-pretraining-21-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-original-frozen-style-pretraining-21-11-2023/outputs/model-original-frozen-style-pretraining-21-11-2023/vqvae0553.wav,2,1,1
126,85,98,117,model-leaky-relu-no-style-pretraining-13-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-leaky-relu-no-style-pretraining-13-11-2023/outputs/model-leaky-relu-no-style-pretraining-13-11-2023/vqvae1403.wav,4,1,2
127,62,52,561,model-leaky-relu-frozen-style-pretraining-15-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-leaky-relu-frozen-style-pretraining-15-11-2023/outputs/model-leaky-relu-frozen-style-pretraining-15-11-2023/vqvae1423.wav,4,1,1
128,40,90,370,model-original-finetuned-style-pretraining-22-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-original-finetuned-style-pretraining-22-11-2023/outputs/model-original-finetuned-style-pretraining-22-11-2023/vqvae1355.wav,5,5,5
129,54,17,209,model-original-finetuned-style-pretraining-22-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-original-finetuned-style-pretraining-22-11-2023/outputs/model-original-finetuned-style-pretraining-22-11-2023/vqvae0992.wav,4,5,4
130,87,28,102,model-leaky-relu-frozen-style-pretraining-15-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-leaky-relu-frozen-style-pretraining-15-11-2023/outputs/model-leaky-relu-frozen-style-pretraining-15-11-2023/vqvae1371.wav,3,1,2
131,63,98,423,model-leaky-relu-finetuned-style-pretraining-15-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-leaky-relu-finetuned-style-pretraining-15-11-2023/outputs/model-leaky-relu-finetuned-style-pretraining-15-11-2023/vqvae0560.wav,2,1,1
132,82,67,404,model-original-no-style-pretraining-19-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-original-no-style-pretraining-19-11-2023/outputs/model-original-no-style-pretraining-19-11-2023/vqvae0553.wav,3,4,4
133,84,1,800,model-leaky-relu-finetuned-style-pretraining-15-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-leaky-relu-finetuned-style-pretraining-15-11-2023/outputs/model-leaky-relu-finetuned-style-pretraining-15-11-2023/vqvae0171.wav,4,1,2
134,19,28,537,model-original-finetuned-style-pretraining-22-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-original-finetuned-style-pretraining-22-11-2023/outputs/model-original-finetuned-style-pretraining-22-11-2023/vqvae0524.wav,5,5,5
135,89,5,107,model-leaky-relu-frozen-style-pretraining-15-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-leaky-relu-frozen-style-pretraining-15-11-2023/outputs/model-leaky-relu-frozen-style-pretraining-15-11-2023/vqvae1090.wav,3,2,2
136,27,55,714,model-leaky-relu-frozen-style-pretraining-15-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-leaky-relu-frozen-style-pretraining-15-11-2023/outputs/model-leaky-relu-frozen-style-pretraining-15-11-2023/vqvae0443.wav,4,1,2
137,52,36,485,model-original-frozen-style-pretraining-21-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-original-frozen-style-pretraining-21-11-2023/outputs/model-original-frozen-style-pretraining-21-11-2023/vqvae0721.wav,2,1,1
138,101,24,319,model-original-finetuned-style-pretraining-22-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-original-finetuned-style-pretraining-22-11-2023/outputs/model-original-finetuned-style-pretraining-22-11-2023/vqvae0509.wav,3,3,3
139,29,79,562,model-original-finetuned-style-pretraining-22-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-original-finetuned-style-pretraining-22-11-2023/outputs/model-original-finetuned-style-pretraining-22-11-2023/vqvae0492.wav,5,5,5
140,7,73,179,model-leaky-relu-no-style-pretraining-13-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-leaky-relu-no-style-pretraining-13-11-2023/outputs/model-leaky-relu-no-style-pretraining-13-11-2023/vqvae0609.wav,4,2,2
141,81,63,830,model-original-no-style-pretraining-19-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-original-no-style-pretraining-19-11-2023/outputs/model-original-no-style-pretraining-19-11-2023/vqvae0328.wav,3,2,2
142,89,69,123,model-original-finetuned-style-pretraining-22-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-original-finetuned-style-pretraining-22-11-2023/outputs/model-original-finetuned-style-pretraining-22-11-2023/vqvae0733.wav,3,4,3
143,85,81,642,model-leaky-relu-finetuned-style-pretraining-15-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-leaky-relu-finetuned-style-pretraining-15-11-2023/outputs/model-leaky-relu-finetuned-style-pretraining-15-11-2023/vqvae1165.wav,4,3,3
144,17,22,411,model-leaky-relu-finetuned-style-pretraining-15-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-leaky-relu-finetuned-style-pretraining-15-11-2023/outputs/model-leaky-relu-finetuned-style-pretraining-15-11-2023/vqvae1031.wav,5,1,2
145,17,12,574,model-original-frozen-style-pretraining-21-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-original-frozen-style-pretraining-21-11-2023/outputs/model-original-frozen-style-pretraining-21-11-2023/vqvae0954.wav,1,1,1
146,52,27,229,model-leaky-relu-frozen-style-pretraining-15-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-leaky-relu-frozen-style-pretraining-15-11-2023/outputs/model-leaky-relu-frozen-style-pretraining-15-11-2023/vqvae1615.wav,3,1,2
147,85,98,117,model-original-frozen-style-pretraining-21-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-original-frozen-style-pretraining-21-11-2023/outputs/model-original-frozen-style-pretraining-21-11-2023/vqvae1403.wav,1,3,1
148,86,57,798,model-leaky-relu-no-style-pretraining-13-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-leaky-relu-no-style-pretraining-13-11-2023/outputs/model-leaky-relu-no-style-pretraining-13-11-2023/vqvae0816.wav,5,1,2
149,54,17,209,model-leaky-relu-finetuned-style-pretraining-15-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-leaky-relu-finetuned-style-pretraining-15-11-2023/outputs/model-leaky-relu-finetuned-style-pretraining-15-11-2023/vqvae0992.wav,2,2,2
150,9,86,112,model-original-frozen-style-pretraining-21-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-original-frozen-style-pretraining-21-11-2023/outputs/model-original-frozen-style-pretraining-21-11-2023/vqvae1429.wav,2,1,1
151,84,1,800,model-original-frozen-style-pretraining-21-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-original-frozen-style-pretraining-21-11-2023/outputs/model-original-frozen-style-pretraining-21-11-2023/vqvae0171.wav,2,1,1
152,85,81,642,model-leaky-relu-no-style-pretraining-13-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-leaky-relu-no-style-pretraining-13-11-2023/outputs/model-leaky-relu-no-style-pretraining-13-11-2023/vqvae1165.wav,4,2,2
153,84,1,800,model-original-finetuned-style-pretraining-22-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-original-finetuned-style-pretraining-22-11-2023/outputs/model-original-finetuned-style-pretraining-22-11-2023/vqvae0171.wav,4,3,3
154,13,20,634,model-leaky-relu-no-style-pretraining-13-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-leaky-relu-no-style-pretraining-13-11-2023/outputs/model-leaky-relu-no-style-pretraining-13-11-2023/vqvae1089.wav,2,1,1
155,34,97,865,model-original-frozen-style-pretraining-21-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-original-frozen-style-pretraining-21-11-2023/outputs/model-original-frozen-style-pretraining-21-11-2023/vqvae0658.wav,2,3,2
156,62,52,561,model-leaky-relu-no-style-pretraining-13-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-leaky-relu-no-style-pretraining-13-11-2023/outputs/model-leaky-relu-no-style-pretraining-13-11-2023/vqvae1423.wav,3,1,1
157,63,98,423,model-original-finetuned-style-pretraining-22-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-original-finetuned-style-pretraining-22-11-2023/outputs/model-original-finetuned-style-pretraining-22-11-2023/vqvae0560.wav,3,5,4
158,54,17,209,model-original-frozen-style-pretraining-21-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-original-frozen-style-pretraining-21-11-2023/outputs/model-original-frozen-style-pretraining-21-11-2023/vqvae0992.wav,2,2,2
159,19,28,537,model-leaky-relu-no-style-pretraining-13-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-leaky-relu-no-style-pretraining-13-11-2023/outputs/model-leaky-relu-no-style-pretraining-13-11-2023/vqvae0524.wav,4,2,2
160,7,73,179,model-original-frozen-style-pretraining-21-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-original-frozen-style-pretraining-21-11-2023/outputs/model-original-frozen-style-pretraining-21-11-2023/vqvae0609.wav,4,3,3
161,82,67,404,model-leaky-relu-finetuned-style-pretraining-15-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-leaky-relu-finetuned-style-pretraining-15-11-2023/outputs/model-leaky-relu-finetuned-style-pretraining-15-11-2023/vqvae0553.wav,2,1,1
162,87,28,102,model-original-finetuned-style-pretraining-22-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-original-finetuned-style-pretraining-22-11-2023/outputs/model-original-finetuned-style-pretraining-22-11-2023/vqvae1371.wav,4,4,4
163,100,3,853,model-original-finetuned-style-pretraining-22-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-original-finetuned-style-pretraining-22-11-2023/outputs/model-original-finetuned-style-pretraining-22-11-2023/vqvae0622.wav,3,4,3
164,24,99,760,model-original-no-style-pretraining-19-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-original-no-style-pretraining-19-11-2023/outputs/model-original-no-style-pretraining-19-11-2023/vqvae1152.wav,5,4,4
165,27,3,844,model-leaky-relu-frozen-style-pretraining-15-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-leaky-relu-frozen-style-pretraining-15-11-2023/outputs/model-leaky-relu-frozen-style-pretraining-15-11-2023/vqvae0567.wav,4,2,2
166,97,82,238,model-leaky-relu-frozen-style-pretraining-15-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-leaky-relu-frozen-style-pretraining-15-11-2023/outputs/model-leaky-relu-frozen-style-pretraining-15-11-2023/vqvae0400.wav,3,1,1
167,29,79,562,model-leaky-relu-frozen-style-pretraining-15-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-leaky-relu-frozen-style-pretraining-15-11-2023/outputs/model-leaky-relu-frozen-style-pretraining-15-11-2023/vqvae0492.wav,4,2,2
168,28,72,581,model-leaky-relu-no-style-pretraining-13-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-leaky-relu-no-style-pretraining-13-11-2023/outputs/model-leaky-relu-no-style-pretraining-13-11-2023/vqvae0056.wav,4,1,1
169,19,28,537,model-leaky-relu-finetuned-style-pretraining-15-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-leaky-relu-finetuned-style-pretraining-15-11-2023/outputs/model-leaky-relu-finetuned-style-pretraining-15-11-2023/vqvae0524.wav,1,2,2
170,89,12,281,model-leaky-relu-finetuned-style-pretraining-15-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-leaky-relu-finetuned-style-pretraining-15-11-2023/outputs/model-leaky-relu-finetuned-style-pretraining-15-11-2023/vqvae1605.wav,2,1,1
171,73,73,794,model-original-no-style-pretraining-19-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-original-no-style-pretraining-19-11-2023/outputs/model-original-no-style-pretraining-19-11-2023/vqvae0227.wav,4,4,4
172,63,84,158,model-original-no-style-pretraining-19-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-original-no-style-pretraining-19-11-2023/outputs/model-original-no-style-pretraining-19-11-2023/vqvae0953.wav,4,5,4
173,81,63,830,model-original-frozen-style-pretraining-21-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-original-frozen-style-pretraining-21-11-2023/outputs/model-original-frozen-style-pretraining-21-11-2023/vqvae0328.wav,3,3,3
174,36,10,279,model-leaky-relu-no-style-pretraining-13-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-leaky-relu-no-style-pretraining-13-11-2023/outputs/model-leaky-relu-no-style-pretraining-13-11-2023/vqvae0728.wav,4,1,1
175,38,99,394,model-original-finetuned-style-pretraining-22-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-original-finetuned-style-pretraining-22-11-2023/outputs/model-original-finetuned-style-pretraining-22-11-2023/vqvae1222.wav,5,5,5
176,24,99,760,model-leaky-relu-frozen-style-pretraining-15-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-leaky-relu-frozen-style-pretraining-15-11-2023/outputs/model-leaky-relu-frozen-style-pretraining-15-11-2023/vqvae1152.wav,5,2,2
